filename,trialnum,condition,target,face_up,target_up,analysis_p_len,ltcenteraoi,ftsideaoi,valid_gaze_percent,longest_nv_combined,pfix_center_bef_disengagement,aoi_border_violation,technical_error,combination,csaccpindex
TV11_SRT3.gazedata,11,3,3,467.7559,2316.5859,750.998,183.2368,249.906,1,0,0.5116,0,1,-1,-1
TV12_SRT1.gazedata,0,3,3,484.708,2799.2791,1251.1851,699.792,733.125,1,0,0.97336,0,0,699.792,0.64681
TV12_SRT1.gazedata,1,3,6,483.26,2651.0349,1133.429,583.49,616.8369,1,0,0.97058,0,0,583.49,0.50999
TV12_SRT1.gazedata,2,2,3,488.7332,2547.4341,1007.3662,448.9741,483.6792,0.89831,51.9939,0.96555,0,0,448.9741,0.35173
TV12_SRT1.gazedata,3,3,5,483.5129,2667.04,1050.0811,499.949,533.282,1,0,0.96826,0,0,499.949,0.4117
TV12_SRT1.gazedata,4,2,6,483.467,2633.199,1083.3049,533.1738,566.4988,1,0,0.96924,0,0,533.1738,0.45079
TV12_SRT1.gazedata,5,2,4,483.3589,2582.9299,1066.6741,516.657,549.999,1,0,0.96874,0,0,516.657,0.43136
TV12_SRT1.gazedata,6,2,5,483.562,2666.9761,1116.8462,500.02,599.9512,0.95522,49.9839,0.91052,0,0,500.02,0.41179
TV12_SRT1.gazedata,7,4,3,483.5801,3026.2849,1490.8311,706.6079,974.0559,0.37079,622.6599,0.8206,0,1,-1,-1
TV12_SRT1.gazedata,8,4,5,467.7939,2500.561,951.207,416.7361,450.082,1,0,0.96494,0,0,416.7361,0.31381
TV12_SRT1.gazedata,9,3,4,483.2881,2532.96,983.2241,433.241,466.584,1,0,0.96609,0,0,433.241,0.33322
TV12_SRT1.gazedata,10,4,6,483.4492,2549.821,966.759,416.5901,449.968,1,0,0.96547,0,0,416.5901,0.31364
TV12_SRT1.gazedata,11,4,4,483.4319,2582.7412,1033.4729,483.354,516.697,1,0,0.96774,0,0,483.354,0.39218
TV12_SRT2.gazedata,0,3,4,483.436,2483.3381,933.2571,383.1631,416.488,1,0,0.96429,0,0,383.1631,0.27431
TV12_SRT2.gazedata,1,3,3,483.2849,2616.634,1033.1641,483.2251,516.5481,1,0,0.96775,0,0,483.2251,0.39203
TV12_SRT2.gazedata,2,3,5,483.4651,2487.4751,983.248,433.123,466.446,1,0,0.96611,0,0,433.123,0.33309
TV12_SRT2.gazedata,3,4,3,483.4189,2466.176,916.708,366.603,399.9409,1,0,0.96363,0,0,366.603,0.25483
TV12_SRT2.gazedata,4,4,6,483.2981,2502.3311,933.405,383.436,416.772,1,0,0.96429,0,0,383.436,0.27463
TV12_SRT2.gazedata,5,3,6,483.5449,2467.2581,916.988,366.811,400.1541,1,0,0.96364,0,0,366.811,0.25507
TV12_SRT2.gazedata,6,2,5,484.0078,7025.595,1468.2039,-1,-1,0.15909,1234.866,0.12486,0,1,-1,-1
TV12_SRT2.gazedata,7,4,5,483.4421,2466.8301,950.1611,400.0452,433.3911,1,0,0.9649,0,0,400.0452,0.29417
TV12_SRT2.gazedata,8,2,4,483.4111,2483.386,949.8372,399.929,433.2581,1,0,0.96491,0,0,399.929,0.29403
TV12_SRT2.gazedata,9,2,3,483.2659,2449.9758,899.8599,366.6509,383.2678,1,0,0.98153,0,0,366.6509,0.25488
TV12_SRT2.gazedata,10,4,4,483.1589,2467.9238,933.157,383.3669,416.6838,1,0,0.9643,0,0,383.3669,0.27455
TV12_SRT2.gazedata,11,2,6,483.491,2373.2141,933.6851,383.448,416.8611,1,0,0.96421,0,0,383.448,0.27464
TV12_SRT3.gazedata,0,2,3,483.1829,2839.686,1218.782,466.5042,702.2671,0.31507,333.2571,0.80656,1,1,-1,-1
TV12_SRT3.gazedata,1,4,6,481.3801,2706.197,1162.571,477.6929,646.626,0.32353,220.4749,0.85469,1,1,-1,-1
TV12_SRT3.gazedata,2,4,5,483.571,2449.8149,916.7749,366.4949,399.8198,1,0,0.96365,0,0,366.4949,0.2547
TV12_SRT3.gazedata,3,3,5,485.6211,2467.0081,902.4231,350.1411,383.4832,1,0,0.96305,0,0,350.1411,0.23546
TV12_SRT3.gazedata,4,4,4,483.335,2518.667,949.925,366.6541,433.2632,1,0,0.92988,0,0,366.6541,0.25489
TV12_SRT3.gazedata,5,2,5,483.4099,2467.009,866.592,333.167,349.8381,1,0,0.98076,0,0,333.167,0.21549
TV12_SRT3.gazedata,6,3,3,483.3201,2499.4771,899.863,333.217,383.208,0.98148,16.656,0.94445,0,0,333.217,0.21555
TV12_SRT3.gazedata,7,2,6,483.3582,2503.085,933.3,383.394,416.603,1,0,0.96442,0,0,383.394,0.27458
TV12_SRT3.gazedata,8,4,3,483.3669,2601.353,949.9141,383.22,433.2041,1,0,0.94738,0,0,383.22,0.27438
TV12_SRT3.gazedata,9,2,4,470.603,2319.7969,773.7529,236.126,269.4648,0.82609,17.157,0.95691,0,0,236.126,0.10132
TV12_SRT3.gazedata,10,3,4,490.1902,6459.9309,1488.8801,-1,-1,0,1488.8801,0,0,1,-1,-1
TV12_SRT3.gazedata,11,3,6,469.478,2573.0901,987.717,467.3992,484.907,0.061538,786.1321,0.98227,1,1,-1,-1
TV16_SRT1.gazedata,0,2,5,498.2522,2657.3242,1154.895,589.5771,622.9141,0.42647,648.3271,0.97113,0,1,-1,-1
TV16_SRT1.gazedata,1,4,4,483.488,3065.876,1516.396,966.2471,999.562,1,0,0.97803,0,0,966.2471,0.96029
TV16_SRT1.gazedata,2,4,6,483.2529,2503.397,983.447,433.53,466.8721,1,0,0.9661,0,0,433.53,0.33356
TV16_SRT1.gazedata,3,2,4,466.6008,2666.2241,1133.322,600.051,633.3772,0.98529,16.6658,0.97059,0,0,600.051,0.52947
TV16_SRT1.gazedata,4,3,6,483.6121,2617.116,1050.2651,499.9958,533.332,1,0,0.96826,0,0,499.9958,0.41176
TV16_SRT1.gazedata,5,3,3,483.228,2616.29,1016.563,466.6782,500.0061,1,0,0.96722,0,0,466.6782,0.37256
TV16_SRT1.gazedata,6,2,6,483.5481,3261.73,1477.7542,-1,-1,0.36364,890.7952,1,0,1,-1,-1
TV16_SRT1.gazedata,7,2,3,483.3459,2528.231,1000.0549,466.6799,483.3818,1,0,0.9833,0,0,466.6799,0.37256
TV16_SRT1.gazedata,8,4,3,484.4561,7152.4849,1468.707,-1,-1,0.097561,1268.5081,1,0,1,-1,-1
TV16_SRT1.gazedata,9,4,5,483.4421,2567.3149,1033.3782,483.28,516.6121,1,0,0.96774,0,0,483.28,0.39209
TV16_SRT1.gazedata,10,3,4,484.155,2988.0249,1454.7261,887.7119,937.741,0.67816,167.1411,0.78232,0,0,887.7119,0.8679
TV16_SRT1.gazedata,11,3,5,482.895,3018.9429,1500.269,966.6909,983.366,0.9,133.3398,0.98889,0,0,966.6909,0.96081
TV16_SRT2.gazedata,0,3,6,483.2761,2550.3679,1016.6091,466.7559,500.042,1,0,0.96726,0,0,466.7559,0.37265
TV16_SRT2.gazedata,1,2,3,483.5549,2466.0278,950.124,399.8918,433.22,1,0,0.96492,0,0,399.8918,0.29399
TV16_SRT2.gazedata,2,3,4,483.3621,2533.311,1016.791,466.7739,500.104,1,0,0.96722,0,0,466.7739,0.37268
TV16_SRT2.gazedata,3,3,5,483.198,2369.592,849.7979,299.969,333.2988,1,0,0.96078,0,0,299.969,0.17643
TV16_SRT2.gazedata,4,4,5,484.9429,2416.5891,868.3918,300.071,350.085,0.96154,15.783,0.94241,0,0,300.071,0.17655
TV16_SRT2.gazedata,5,4,6,483.356,2733.354,1183.238,633.342,666.6541,0.97183,15.4128,0.97185,0,0,633.342,0.56864
TV16_SRT2.gazedata,6,2,4,483.5439,2399.925,866.573,316.3132,349.6362,1,0,0.96155,0,0,316.3132,0.19566
TV16_SRT2.gazedata,7,4,3,483.5488,8420.0669,1483.541,-1,-1,0.98876,16.0908,1,0,0,1000,1
TV16_SRT2.gazedata,8,4,4,493.1841,2710.614,1487.178,-1,-1,0.34483,455.929,0.33162,0,1,-1,-1
TV16_SRT2.gazedata,9,2,6,483.4192,5159.1599,1466.7422,-1,-1,1,0,0.31822,0,1,-1,-1
TV16_SRT2.gazedata,10,2,5,477.6108,8261.28,1464.6638,-1,-1,0.25287,826.7241,0.59875,0,1,-1,-1
TV16_SRT2.gazedata,11,3,3,482.551,6654.741,1471.304,-1,-1,0.010638,1452.8179,1,0,1,-1,-1
TV16_SRT3.gazedata,0,2,6,483.314,13360.4932,1483.2742,-1,-1,0,1483.2742,0,0,1,-1,-1
TV16_SRT3.gazedata,1,2,4,484.395,4716.719,1484.249,-1,-1,1,0,1,0,0,1000,1
TV16_SRT3.gazedata,2,2,5,483.3909,2533.8169,883.3579,333.322,366.6479,1,0,0.96227,0,0,333.322,0.21567
TV16_SRT3.gazedata,3,3,3,483.272,2916.4099,1399.936,849.9951,883.3411,1,0,0.97618,0,0,849.9951,0.82352
TV16_SRT3.gazedata,4,4,6,483.4871,2800.4331,1266.6711,716.5659,749.9021,1,0,0.52639,0,1,-1,-1
TV16_SRT3.gazedata,5,4,5,483.283,2938.842,1450.46,-1,-1,0.87356,116.665,0.18378,0,1,-1,-1
TV16_SRT3.gazedata,6,3,6,487.1501,2483.23,1487.0161,-1,-1,1,0,0.30519,0,1,-1,-1
TV16_SRT3.gazedata,7,2,3,483.303,2315.915,783.335,233.323,266.689,1,0,0.95741,0,0,233.323,0.098027
TV16_SRT3.gazedata,8,4,3,483.4751,2399.679,849.999,299.8501,333.1799,1,0,0.96079,0,0,299.8501,0.17629
TV16_SRT3.gazedata,9,4,4,483.2949,2916.603,1466.739,-1,-1,1,0,0.38635,0,1,-1,-1
TV16_SRT3.gazedata,10,3,5,483.2759,2367.074,816.541,266.6069,299.9351,1,0,0.95918,0,0,266.6069,0.13718
TV16_SRT3.gazedata,11,3,4,483.2209,3350.0769,1466.551,-1,-1,1,0,0.39768,0,1,-1,-1
TV17_SRT1.gazedata,0,2,5,488.6909,2731.999,1188.5569,633.2031,666.531,1,0,0.97196,0,0,633.2031,0.56847
TV17_SRT1.gazedata,1,4,6,483.5688,2558.3569,1000.2478,450.03,483.3608,1,0,0.96668,0,0,450.03,0.35298
TV17_SRT1.gazedata,2,4,5,483.405,2574.0491,1050.0349,499.938,533.293,1,0,0.96823,0,0,499.938,0.41169
TV17_SRT1.gazedata,3,2,4,483.333,9204.385,1483.166,-1,-1,0.8427,233.1758,0.82032,0,1,-1,-1
TV17_SRT1.gazedata,4,2,3,482.5339,2650.012,1033.2639,483.2839,516.637,0.87097,66.688,0.96772,0,0,483.2839,0.3921
TV17_SRT1.gazedata,5,3,6,486.7439,14229.2791,1472.969,-1,-1,0.11364,1305.665,0,0,1,-1,-1
TV17_SRT1.gazedata,6,4,4,483.6511,9320.2471,1466.7251,-1,-1,0.75,366.5452,0.72737,0,1,-1,-1
TV17_SRT1.gazedata,7,4,3,483.364,2133.2229,1465.948,-1,-1,0.52874,566.3459,0.38661,0,1,-1,-1
TV17_SRT1.gazedata,8,3,3,471.7581,3749.4409,1469.647,-1,-1,0.27586,1031.2168,0.23029,0,1,-1,-1
TV17_SRT1.gazedata,9,3,4,483.2261,8038.238,1466.782,-1,-1,0.98864,0,0.46581,0,1,-1,-1
TV17_SRT1.gazedata,10,2,6,480.6699,2500.011,980.6001,433.2571,466.5972,0.95082,16.666,0.966,0,0,433.2571,0.33324
TV17_SRT1.gazedata,11,3,5,470.5261,7714.6689,1456.217,-1,-1,0.08046,1336.6628,1,0,1,-1,-1
TV17_SRT2.gazedata,0,2,5,473.7041,2383.2739,823.562,283.177,316.5139,0.95918,17.74,0.95952,0,0,283.177,0.15668
TV17_SRT2.gazedata,1,3,3,483.2551,2632.9561,1066.8,516.8491,550.198,1,0,0.96874,0,0,516.8491,0.43159
TV17_SRT2.gazedata,2,4,5,483.3369,2717.1931,1149.915,616.594,633.2461,1,0,0.98552,0,0,616.594,0.54893
TV17_SRT2.gazedata,3,4,4,483.448,6141.9438,1466.7939,-1,-1,0.54545,666.7241,1,0,1,-1,-1
TV17_SRT2.gazedata,4,3,4,483.2998,11294.959,1482.6499,-1,-1,0.73864,377.553,0.73364,1,1,-1,-1
TV17_SRT2.gazedata,5,3,6,483.366,4861.4119,1477.8591,-1,-1,0.68182,155.52,0.53574,1,1,-1,-1
TV17_SRT2.gazedata,6,3,5,486.7571,2316.6741,753.614,200.186,233.5229,0.97727,16.6238,0.95576,0,0,200.186,0.059042
TV17_SRT2.gazedata,7,4,3,483.2949,2083.4719,1466.6909,-1,-1,0.98851,16.6599,0.32951,0,1,-1,-1
TV17_SRT2.gazedata,8,2,4,483.1179,2466.3032,899.9849,350.196,383.5381,1,0,0.96295,0,0,350.196,0.23552
TV17_SRT2.gazedata,9,2,6,483.3281,5411.1599,1472.3201,-1,-1,0.18182,1172.3469,0.19243,0,1,-1,-1
